dataset,dataset_label,player,player_key,signal,target,horizon,n,pearson_r,spearman_r,slope_pp_per_unit,hac_t,hac_p,bucket_n,bucket_top_n,bucket_bottom_n,bucket_top_avg,bucket_bottom_avg,bucket_top_minus_bottom,bucket_top_hit,bucket_bottom_hit,bucket_top_avg_drawdown,bucket_bottom_avg_drawdown,abs_spearman,top_minus_bottom_abs,evidence,evidence_rank
tff,TFF Detailed,Non-reportable,non_reportable,flow1_z,NASDAQ-100,1w,485,-0.07462626871330456,-0.05182786944736335,-0.1167946735162867,-1.6619348236316658,0.09652584341364279,485,146,146,0.22181612919378918,0.37557201830476317,-0.153755889110974,58.9041095890411,59.589041095890416,-1.431514559099889,-1.6608736028144417,0.05182786944736335,0.153755889110974,weak/mixed,2
legacy,Legacy,Nonreportable,nonreportable,flow1_z,NASDAQ-100,1w,485,-0.07462626871330456,-0.05182786944736335,-0.1167946735162867,-1.6619348236316658,0.09652584341364279,485,146,146,0.22181612919378918,0.37557201830476317,-0.153755889110974,58.9041095890411,59.589041095890416,-1.431514559099889,-1.6608736028144417,0.05182786944736335,0.153755889110974,weak/mixed,2
tff,TFF Detailed,Non-reportable,non_reportable,trend26_z,NASDAQ-100,1w,460,-0.07028074726483279,-0.09640248566967423,-0.10616817982391902,-1.6516476590267983,0.09860639843667765,460,138,138,0.21214816678337892,0.6164659745771495,-0.4043178077937706,55.79710144927537,66.66666666666666,-1.5024549852686264,-1.594529032929772,0.09640248566967423,0.4043178077937706,weak/mixed,2
legacy,Legacy,Nonreportable,nonreportable,trend26_z,NASDAQ-100,1w,460,-0.07028074726483279,-0.09640248566967423,-0.10616817982391902,-1.6516476590267983,0.09860639843667765,460,138,138,0.21214816678337892,0.6164659745771495,-0.4043178077937706,55.79710144927537,66.66666666666666,-1.5024549852686264,-1.594529032929772,0.09640248566967423,0.4043178077937706,weak/mixed,2
tff,TFF Detailed,Non-reportable,non_reportable,trend26_z,NASDAQ-100,4w,457,-0.12201843795212797,-0.13923469893236146,-0.3458850508036265,-1.6074036630703463,0.1079658470610044,457,137,137,1.0116472468384006,2.7035713167670887,-1.6919240699286882,62.04379562043796,76.64233576642336,-3.432796142865812,-3.1772002241736153,0.13923469893236146,1.6919240699286882,weak/mixed,2
legacy,Legacy,Nonreportable,nonreportable,trend26_z,NASDAQ-100,4w,457,-0.12201843795212797,-0.13923469893236146,-0.3458850508036265,-1.6074036630703463,0.1079658470610044,457,137,137,1.0116472468384006,2.7035713167670887,-1.6919240699286882,62.04379562043796,76.64233576642336,-3.432796142865812,-3.1772002241736153,0.13923469893236146,1.6919240699286882,weak/mixed,2
tff,TFF Detailed,Leveraged Funds,lev_money,trend13_z,S&P 500,26w,448,0.1634537933726021,0.21729789433000143,0.7963511831512041,1.6032514437117236,0.10887915194281941,448,135,135,9.19791401707955,5.208806592821388,3.9891074242581617,82.22222222222221,76.29629629629629,-6.675780867786639,-7.030674354246162,0.21729789433000143,3.9891074242581617,weak/mixed,2
tff,TFF Detailed,Non-reportable,non_reportable,flow4_z,S&P 500,13w,470,-0.13031415082608355,-0.06501715957027825,-0.4882573674422692,-1.584401957759655,0.11310227669488382,470,141,141,2.7803707110608507,4.323049715828754,-1.542679004767903,73.04964539007092,76.59574468085107,-4.505494836907705,-5.20137511708386,0.06501715957027825,1.542679004767903,weak/mixed,2
legacy,Legacy,Nonreportable,nonreportable,flow4_z,S&P 500,13w,470,-0.13031415082608355,-0.06501715957027825,-0.4882573674422692,-1.584401957759655,0.11310227669488382,470,141,141,2.7803707110608507,4.323049715828754,-1.542679004767903,73.04964539007092,76.59574468085107,-4.505494836907705,-5.20137511708386,0.06501715957027825,1.542679004767903,weak/mixed,2
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,flow1_z,S&P 500,26w,460,-0.04916644405332272,-0.022541899906241853,-0.2994360185760922,-1.5717820614690878,0.11600110314010781,460,138,138,7.03417043622627,7.4545778878276465,-0.4204074516013767,76.81159420289855,76.08695652173914,-7.027961325737403,-7.6265338587932945,0.022541899906241853,0.4204074516013767,weak/mixed,2
