dataset,market,category,position_change_metric,horizon,increase_n,increase_mean_return,increase_median_return,increase_hit_rate,increase_stdev,decrease_n,decrease_mean_return,decrease_median_return,decrease_hit_rate,decrease_stdev,mean_diff_up_minus_down,welch_t,normal_p_approx
tff_disaggregated,nq,dealer,long_oi_pct_change,1d_post_release,279,0.0004778139125024207,0.001379509179480598,0.5698924731182796,0.01581945570345153,279,0.0017066147343208903,0.0022173692996412253,0.6129032258064516,0.012810405469354313,-0.0012288008218184696,-1.008309383811768,0.313305959505101
tff_disaggregated,nq,dealer,long_oi_pct_change,2d_post_release,279,0.002047293003559039,0.0026689113173226087,0.5770609318996416,0.016384820372055638,279,0.0027692703038806436,0.0034844621566172407,0.6236559139784946,0.017788575348588236,-0.0007219773003216048,-0.49863919338479495,0.6180335888576738
tff_disaggregated,nq,dealer,long_oi_pct_change,3d_post_release,279,0.0022123583206737677,0.0038430745724200577,0.5878136200716846,0.0210402925941943,279,0.005266892589313495,0.004462250431070736,0.6021505376344086,0.021226168593920486,-0.0030545342686397275,-1.7071119961475953,0.08780123782948224
tff_disaggregated,nq,dealer,long_oi_pct_change,1w_post_release,279,0.004190147400193827,0.005931325215613237,0.5842293906810035,0.02899798983505215,279,0.004208895830403618,0.0042691477417351464,0.5806451612903226,0.02772904504076397,-1.8748430209791257e-05,-0.007805186704215327,0.9937724252662042
tff_disaggregated,nq,dealer,long_oi_pct_change,2w_post_release,279,0.008403556757954025,0.013050542669624354,0.6523297491039427,0.04053079253689019,278,0.00810914991614015,0.010394643168290862,0.6223021582733813,0.035928954472640204,0.0002944068418138761,0.09072010177140075,0.9277149975906692
tff_disaggregated,nq,dealer,long_oi_pct_change,4w_post_release,278,0.019241256418315943,0.025041472850517832,0.7014388489208633,0.053604479128046265,276,0.013878810500817499,0.021552565337694563,0.6268115942028986,0.058253460299100966,0.005362445917498444,1.1272191429211154,0.25964983878309855
tff_disaggregated,nq,dealer,long_oi_pct_change,13w_post_release,273,0.05715807839260407,0.0672258776047483,0.7582417582417582,0.090769960635495,272,0.04894206162205895,0.05063885512319399,0.7794117647058824,0.09301182442567774,0.00821601677054512,1.0435525959924254,0.29669243463471345
tff_disaggregated,nq,dealer,short_oi_pct_change,1d_post_release,278,0.0020074126390166487,0.002085264665743991,0.6079136690647482,0.01271424901643467,280,0.0001835531386324121,0.001486968533963351,0.575,0.015857961208825405,0.0018238595003842366,1.499402242821386,0.13376931211197943
tff_disaggregated,nq,dealer,short_oi_pct_change,2d_post_release,278,0.0019724181296072955,0.002920815281260536,0.5935251798561151,0.0158743209920475,280,0.0028410318669458688,0.003351928978713725,0.6071428571428571,0.018234447583691468,-0.0008686137373385733,-0.600267737352174,0.5483278164877778
tff_disaggregated,nq,dealer,short_oi_pct_change,3d_post_release,278,0.0035885756132985635,0.003116863753626742,0.5755395683453237,0.02056575906118632,280,0.003889596369248021,0.005350825655815683,0.6142857142857143,0.02178861616566572,-0.0003010207559494575,-0.16783264711080104,0.8667149380979994
