market,market_label,horizon,bucket_type,bucket,observations,avg_return_pct,median_return_pct,hit_rate_pct,avg_drawdown_pct,worst_drawdown_pct,volatility_pct,sharpe_like,unconditional_avg_return_pct,diff_vs_unconditional_pct,welch_t_stat_vs_rest,approx_p_value_vs_rest
sp500,S&P 500,52w,score_intensity,Caution,15,-1.558402,3.487353,53.333333,-17.578523,-24.087122,10.206735,-0.152684,15.341466,-16.899867,-6.39229,0.0
sp500,S&P 500,52w,score_intensity,Extreme Negative,6,8.981921,11.912189,83.333333,-14.926619,-19.316536,10.241104,0.877046,15.341466,-6.359545,-1.51806,0.128999
sp500,S&P 500,52w,score_intensity,Risk-On,58,17.205058,20.172787,87.931034,-7.6648,-29.39283,11.808345,1.457025,15.341466,1.863592,1.230705,0.218433
sp500,S&P 500,52w,score_intensity,Mild Positive,17,26.275947,29.356339,100.0,-5.795888,-25.222338,11.144529,2.357744,15.341466,10.934481,4.057744,5e-05
sp500,S&P 500,52w,score_intensity,Extreme Positive,34,27.507555,26.566518,100.0,-5.022571,-16.427462,16.538487,1.663245,15.341466,12.166089,4.535923,6e-06
nq,NASDAQ-100,1d,regime,Mixed,404,0.138375,0.198045,59.158416,-0.459855,-12.193224,1.564632,0.088439,0.111003,0.027372,0.990959,0.321705
nq,NASDAQ-100,1d,regime,Risk-On,52,-0.101655,0.114159,53.846154,-0.67409,-3.458762,1.65401,-0.06146,0.111003,-0.212658,-0.990959,0.321705
nq,NASDAQ-100,1d,score_sign,Positive,114,0.0733,0.157554,57.894737,-0.547585,-4.601608,1.557758,0.047055,0.111003,-0.037703,-0.297199,0.766315
nq,NASDAQ-100,1d,score_sign,Zero,253,0.219865,0.233362,60.079051,-0.405539,-6.82634,1.445637,0.152089,0.111003,0.108862,1.620224,0.105184
nq,NASDAQ-100,1d,score_sign,Negative,89,-0.150166,0.142636,55.05618,-0.627056,-12.193224,1.902949,-0.078912,0.111003,-0.261168,-1.502225,0.133039
nq,NASDAQ-100,1d,score_intensity,Mild Positive,62,0.220035,0.216844,61.290323,-0.441484,-4.601608,1.469677,0.149717,0.111003,0.109032,0.621156,0.534497
nq,NASDAQ-100,1d,score_intensity,Zero,253,0.219865,0.233362,60.079051,-0.405539,-6.82634,1.445637,0.152089,0.111003,0.108862,1.620224,0.105184
nq,NASDAQ-100,1d,score_intensity,Mild Negative,89,-0.150166,0.142636,55.05618,-0.627056,-12.193224,1.902949,-0.078912,0.111003,-0.261168,-1.502225,0.133039
nq,NASDAQ-100,1d,score_intensity,Risk-On,32,-0.133716,0.01514,50.0,-0.755317,-3.458762,1.80751,-0.073978,0.111003,-0.244719,-0.801547,0.422815
nq,NASDAQ-100,1d,score_intensity,Extreme Positive,20,-0.050357,0.128479,60.0,-0.544128,-3.263424,1.417147,-0.035534,0.111003,-0.16136,-0.51795,0.604493
nq,NASDAQ-100,2d,regime,Mixed,404,0.266909,0.34088,58.910891,-0.744787,-12.193224,1.848404,0.1444,0.247459,0.01945,0.613947,0.53925
nq,NASDAQ-100,2d,regime,Risk-On,52,0.096348,0.179148,59.615385,-0.867214,-4.952075,1.890387,0.050967,0.247459,-0.151112,-0.613947,0.53925
nq,NASDAQ-100,2d,score_sign,Positive,114,0.205696,0.329463,63.157895,-0.812641,-4.952075,1.995694,0.10307,0.247459,-0.041764,-0.264101,0.791702
nq,NASDAQ-100,2d,score_sign,Zero,253,0.322056,0.380568,59.683794,-0.700529,-6.82634,1.821262,0.176831,0.247459,0.074597,0.956297,0.338922
nq,NASDAQ-100,2d,score_sign,Negative,89,0.088897,0.206857,51.685393,-0.855213,-12.193224,1.753883,0.050686,0.247459,-0.158562,-0.937691,0.348403
nq,NASDAQ-100,2d,score_intensity,Mild Positive,62,0.297407,0.345461,66.129032,-0.76687,-4.601608,2.090811,0.142245,0.247459,0.049948,0.205849,0.836909
nq,NASDAQ-100,2d,score_intensity,Zero,253,0.322056,0.380568,59.683794,-0.700529,-6.82634,1.821262,0.176831,0.247459,0.074597,0.956297,0.338922
nq,NASDAQ-100,2d,score_intensity,Mild Negative,89,0.088897,0.206857,51.685393,-0.855213,-12.193224,1.753883,0.050686,0.247459,-0.158562,-0.937691,0.348403
nq,NASDAQ-100,2d,score_intensity,Risk-On,32,0.106228,0.100044,56.25,-0.915354,-3.713764,1.933473,0.054942,0.247459,-0.141231,-0.429829,0.66732
nq,NASDAQ-100,2d,score_intensity,Extreme Positive,20,0.080539,0.519191,65.0,-0.790191,-4.952075,1.868799,0.043097,0.247459,-0.16692,-0.408659,0.68279
nq,NASDAQ-100,3d,regime,Mixed,404,0.447161,0.462742,59.90099,-0.989798,-12.193224,2.343374,0.190819,0.404651,0.04251,1.185057,0.235995
nq,NASDAQ-100,3d,regime,Risk-On,52,0.074382,0.083064,51.923077,-1.143239,-5.233377,2.106824,0.035305,0.404651,-0.33027,-1.185057,0.235995
nq,NASDAQ-100,3d,score_sign,Positive,114,0.213315,0.228566,54.385965,-1.092571,-5.541818,2.119013,0.100667,0.404651,-0.191336,-1.078428,0.280843
nq,NASDAQ-100,3d,score_sign,Zero,253,0.52894,0.477905,62.84585,-0.912145,-6.82634,2.247455,0.235351,0.404651,0.124289,1.26964,0.204213
nq,NASDAQ-100,3d,score_sign,Negative,89,0.296419,0.277615,53.932584,-1.168553,-12.193224,2.731191,0.108531,0.404651,-0.108233,-0.431509,0.666098
